text,label
sebab fatalitas korban pagar kam jalan desain teknis seragam karakteristik geometrik lokasi jadi upa alinyemen vertikal jalan turun panjang alinyemen horizontal tikung ganda penampang lintang jalan upa jalan arah jalur median lebar jalan meter kondisi geometrik akan timbul gaya sentrifugal kendara belok kanan tuju jembatan gaya tarik kendara arah jurang harus hitung pagar kam jalan desain teknis pada dapat selamat kendara hilang kendali alami gagal akan belok,PRE
dasar hasil investigasi analisis simpul faktor jadi celaka tabrak untun jalan raya malangsurabaya sentul purwodadi ubah tipe hadap dimensi mampu daya angkut truk flat deck akibat berat muat lebih daya angkut sistem rem tunjuk gagal akibat fungsi sistem rem operasi jalan turun panjang cara rem utama awal engine brake exhaust brake kurang cepat,UA
dasar hasil investigasi analisis simpul faktor jadi celaka tabrak untun jalan raya malangsurabaya sentul purwodadi ubah tipe hadap dimensi mampu daya angkut truk flat deck akibat berat muat lebih daya angkut sistem rem tunjuk gagal akibat fungsi sistem rem operasi jalan turun panjang cara rem utama awal engine brake exhaust brake kurang cepat,PRE
fatalitas korban jadi lebar jalan meter saat satu kendara putar arah jalur tuju malang manuver pakai lajur kiri akibat jadi antri kendara lajur kiri manuver kendara putar arah hasil ini risiko tinggi di jalan nasional dengan kondisi jalan turun panjang lurus hambatanhambatan jadi bahaya saat darurat,PRE
hasil investigasi simpul celaka oleh tata cara kendara kemudi truk trailer guna lajur,UA
dasar hasil investigasi analisis simpul sebab jadi celaka kemudi pertama mobil bus akap dapat antisipasi jadi guna persneling gigi lima cepat atas kmjam geometrik jalan tikung kiri tanjak beda tinggi badan jalan bahu jalan batas pandang kemudi jadi faktor kontribusi pada celaka akibat lewat jembatan way capang way tuba mobil bus akap gagal tikung guling akibat atap mobil bus akap tabrak truk tangki cpo yang datang arah lawan,PRE
dasar hasil investigasi analisis simpul sebab jadi celaka kemudi pertama mobil bus akap dapat antisipasi jadi guna persneling gigi lima cepat atas kmjam geometrik jalan tikung kiri tanjak beda tinggi badan jalan bahu jalan batas pandang kemudi jadi faktor kontribusi pada celaka akibat lewat jembatan way capang way tuba mobil bus akap gagal tikung guling akibat atap mobil bus akap tabrak truk tangki cpo yang datang arah lawan,UA
fatalitas korban jadi dampak rusa akibat bentur deformasi atap mobil bus akibat tumpang belakang kemudi alami mati cedera berat ini cepat cara langsung kait parah cedera celaka probabilitas cedera parah tingkat tajam dampak cepat kendara tabrak survival space saat superstruktur bagi atap tidak dapat tahan beban jadi bentur bagi depan truk tangki cpo,PRE
jadi celaka dump truck a b bijak kena beri waktu potong bak overdimension laku waktu bulan akibat dump truck a b overdimension lolos uji alami overload jadi gagal rem turun turun panjang tol cipularang km,UA
jadi fatalitas peristiwa celaka sebab hal tidak sabuk selamat dump truck b akibat kemudi lempar gencet sisi kanan dump truck cepat dump truck a atas kmjam akibat dump truck a overload milik momentum besar hancur kendaraankendaraan sedang henti,UA
dasar hasil investigasi analisis simpul sebab jadi celaka ubah sudut kemudi cepat step steering input mobil tumpang arah kiri lajur tuju lajur tepat sisi kanan truk trailer tangki truk trailer tangki hindar kiri kendara hilang kendali kemudian arah kiri lajur tabrak pagar kam jalan panas manhole bottom loading cabinet bakar akibat logam tangki lunak uap bensin tangki kembang tekan tingkat kembang uap sulut sebab reaksi ledak ledak dapat robek tangki timbul gaya dorong kendara lambung saat darat fifth wheel tractor head patah jatuh bawah jalan layang sedang posisi akhir trailer tangki mobil tumpang dorong jauh meter posisi awal dua kendara tabrak pagar kam ledak sendiri hasil panas uap bahan bakar sedia sumber api uap baru hasil bakar trailer tangki mobil tumpang jadi,UA
fatalitas korban jadi gaya jadi celaka besar kn arti gaya dorong terima amt bentur lebih kali lipat nilai kritis neck injury criteria dasar analisis biomekanik cedera sebut akibat amt sadar diri bahkan tinggal temu mobil tumpang ikat sabuk selamat pasang kunci sabuk kursi kemudi mobil tumpang ini dapat jadi bukti kemudi mobil tumpang pakai sabuk selamat skid mark mobil tumpang temu lokasi celaka jadi step steering input ubah sudut kemudi dengan cepat tetap ini indikasi kemudi mobil tumpang alami hilang sadar microsleep celaka jadi dini hari,PRE
dasar hasil investigasi analisis simpul sebab jadi celaka cara langsung rupa kombinasi tindak selamat laku cara sama satu waktu diri atas a kekurangwaspadaan jalan lintas lintas bidang indikasi indah tanda rambu stop juga ingat jaga pintu lintas palang pintu kondisi hendak tutup b tindak reaksi kurang tepat atas kendara lanjur henti lintas bidang mana selamat jiwa dua yakni keluar paksa tumpang dalammobil henti laju kereta lari dekat arah kereta sembari beri tanda isyarat kereta henti c ketidakmampuan kendali kendara sebab jalan lintas bidang penuh syarat geometrik struktur mana miring jalan struktur jalan batu tidak penuh standar jalan selamat,UA
dasar hasil investigasi analisis simpul sebab jadi celaka cara langsung rupa kombinasi tindak selamat laku cara sama satu waktu diri atas a kekurangwaspadaan jalan lintas lintas bidang indikasi indah tanda rambu stop juga ingat jaga pintu lintas palang pintu kondisi hendak tutup b tindak reaksi kurang tepat atas kendara lanjur henti lintas bidang mana selamat jiwa dua yakni keluar paksa tumpang dalammobil henti laju kereta lari dekat arah kereta sembari beri tanda isyarat kereta henti c ketidakmampuan kendali kendara sebab jalan lintas bidang penuh syarat geometrik struktur mana miring jalan struktur jalan batu tidak penuh standar jalan selamat,PRE
dasar temu hadap jadi celaka simpul jadi tingkat fatalitas celaka tinggi akibat orang tumpang tinggal dunia karena guna sabuk selamat telah sedia masingmasing kursi tumpang itu tindak rem cara full service lambat laku akibat terlalu besar kurang survival space lempar tumpang cepat tinggi,UA
dasar hasil investigasi analisis simpul jadi celaka tabrak untun kemudi mampu kuasa kendara sebab karena interaksi langsung tumpang kemudi ganggu konsentrasi kemudi akibat kemudi hilang kendali atas kemudi arah mobil bus belok tuju median menyebrang jalur lawan jadi tabrak untun akibat fatalitas tinggi cedera berat,UA
fatalitas korban jadi desain median jalan tol cipali lengkap pagar kam landai cm mungkin kendara masuk jalur lalu lintas lawan pasca celaka kondisi kendara libat tunjuk ruang kabin tumpang deformasi ke survival space akibat tumpang jadi korban tinggal cedera berat,PRE
bad connection sebab hubung pendek arcing picu buruk kondisi batere mekanisme pelihara batere kontrol samping dapat instalasi material kabel connector yang tidak sesuai standar practice industry,UA
dasar hasil investigasi analisis simpul sebab jadi celaka tabrak muka mobil elf belakang truk tronton rear end kemudi mobil elf laku jalan brebes tanjung priok jakarta lama jam istirahat tempat tuju istirahat lebih jam tahu giat jalan pulang brebes celaka kemudi kendara mobil lebih jam ada istirahat mobil elf lewat jalan tol cikopopalimanan kma kemudi alami microsleep ini lihat slip roda depan side slip mobil elf mobil elf gerak arah samping kendara jalan lurus perlahan cepat kendara tidak kurang,PRE
fatalitas korban jadi lokasi mobil bus guling jalan raya bypass cicalengka flyover lintas bawah jalan desa tepi ambang kam jalan pasang pagar kam pasang patok dapat deret pohon besar super structure mobil bus dapat tahan survival space tidak pasang sabuk selamat di semua kursi tumpang,PRE
hasil investigasi simpul celaka oleh tata cara dari sisi kiri guna bahu jalan tabrak guardrail masuk parit,UA
fatalitas korban celaka akibat superstructure mobil bus mampu tahan mobil bus alami bentur atap kendara kursi kendara lepas tidak sabuk selamat kursi tumpang hingga tumpang lempar mobil bus guling,PRE
dasar hasil investigasi analisis simpul sebab truk tronton luncur tak kendali bentang turun jadi tabrak untun gagal lambat kondisi jalan turun panjang curam cenderung paksa jalan laku rem rem utama berkalikali awal teknik rem mesin engine braking akibat sedia udara tangki tip fluida dorong master cylinder kampas rem gesek muka tromol kurang tenaga perilaku kurang terampil tindak risiko tinggi justru terkadang sadar bahkan anggap bagai biasa pola pikir attitude biasa behaviour sangat bahaya bisa akibat fatal bila dukung paham hadap selamat lebih muat gvwjbb dari jbi jadi faktor kontribusi jadi celaka,UA
dasar hasil investigasi analisis simpul sebab truk tronton luncur tak kendali bentang turun jadi tabrak untun gagal lambat kondisi jalan turun panjang curam cenderung paksa jalan laku rem rem utama berkalikali awal teknik rem mesin engine braking akibat sedia udara tangki tip fluida dorong master cylinder kampas rem gesek muka tromol kurang tenaga perilaku kurang terampil tindak risiko tinggi justru terkadang sadar bahkan anggap bagai biasa pola pikir attitude biasa behaviour sangat bahaya bisa akibat fatal bila dukung paham hadap selamat lebih muat gvwjbb dari jbi jadi faktor kontribusi jadi celaka,PRE
faktor manusia mana kemudi milik skill alam cukup kemudi mobil bus sebab ketidaksesuaian saat kemudi pada medan jalan ekstrem,UA
hasil investigasi simpul sebab jadi celaka gagal sistem rem mobil bus jelang lokasi jadi celaka sebab tipis kampas rem aus muka tromol akibat mobil bus laju cepat tinggi lalu turun curam tidak mampu belok lewat tikung jembatan sipegepege,UA
fatalitas tinggi korban celaka oleh dapat sabuk selamat tiap kursi tumpang lepas kursi mobil bus duduk akibat korosi parah mobil bus akibat tumpang mobil bus lempar mobil bus jatuh sungai,PRE
dasar hasil investigasi analisis simpul sebab jadi celaka human factor mana kemudi alami lelah luar biasa sebab fenomena microsleep kemudi kendara jalan tol akibat terlampuainya batas waktu kemudi bagaimana atur atur undang ada uu nomor tahun ketenagakerjaan uu nomor tahun llaj,PRE
sedang sebab fatalitas korban desain pagar kam jalan tiang tengah jembatan tiang pju jalan tol kurang forgive mungkin kendara motor masuk celah pagar tabrak tiang tengah jembatan tiang pju,PRE
dasar investigasi simpul sebab jadi celaka ada mobil tumpang laku siap kendara di tikung dapat marka utuh kurang cepat mobil bus kondisi kritis hanya rem bantu retarder tindak antisipasi mobil bus hindar tabrak arah kendara lajur lawan arah akibat mobil bus mobil tumpang mampu antisipasi gera masingmasing jadi saat kondisi kritis tabrak frontal dua mampu hindar,UA
celaka jadi akibat ada koordinasi pt dewi sri putra bagai transpotir pihak kontraktor dalam ini pt giri bangun sentosa pt tjakrindo kait standar operasional prosedur cara tulis area proyek utama perihal keluar masuk kendara lintas lintas bidang area proyek,PRE
celaka untun awal celaka tunggal dump truck tumpah batu split badan jalan dump truck bawa muat lebih besar ton sekitar,UA
dasar hasil investigasi analisis simpul sebab mobil elf guling ketidakmampuan kenal kelola potensi bahaya risiko lewat jalan turun panjang curam turun sd kemudi turun cepat cara injak pedal rem utama terus terus tidak laku engine breaking efek rem kurang potensi fenomena vapor lock akibat mobil elf guling saat kemudi aktif rem parkir cara penuh tikung gabung balik arah,PRE
dasar hasil investigasi analisis simpul sebab mobil elf guling ketidakmampuan kenal kelola potensi bahaya risiko lewat jalan turun panjang curam turun sd kemudi turun cepat cara injak pedal rem utama terus terus tidak laku engine breaking efek rem kurang potensi fenomena vapor lock akibat mobil elf guling saat kemudi aktif rem parkir cara penuh tikung gabung balik arah,UA
dasar hasil investigasi analisis simpul sebab jadi celaka putus tetap operasi bus alami bocor konektor selang udara rem utama belakang kanan baik selamat cara potong selang thermoplastic cepat awal bus rang akibat bus luncur kendali guling turun emen,UA
fatalitas korban jadi tidak pasang sabuk selamat seluruh kursi mobil bus akibat mobil bus guling tumpang belah kiri timpa tumpang belah kanan akibat kaca jendela pecah seret jalan,PRE
fatalitas korban jadi tidak pasang sabuk selamat seluruh kursi mobil bus akibat mobil bus guling tumpang belah kiri timpa tumpang belah kanan akibat kaca jendela pecah seret jalan,UA
hasil investigasi simpul celaka oleh kemudi alami lelah ini akibat kemudi hilang kendali dahulu kendara depan tabrak mobil truk laju arah yang lawan itu pick up sesuai untuk,PRE
hasil investigasi simpul celaka oleh kemudi alami lelah ini akibat kemudi hilang kendali dahulu kendara depan tabrak mobil truk laju arah yang lawan itu pick up sesuai untuk,UA
fatalitas tinggi korban celaka akibat kendara guna bukan untuk angkut tumpang,UA
hasil investigasi simpul jadi celaka sebab bakar kampas rem akibat percik api akumulasi temperatur tinggi tromol roda kanan sumbu kereta tempel akumulasi temperatur jadi gesek kampas rem lengket akibat overheat tromol rem operasi kendara lebih jam rit pertama gesek paku keling tromol jadi rit akhir bakar kampas rem akibat ban letus bakar ban sebut alami pyrolysis,UA
hasil investigasi simpul celaka oleh mobil bus saling dan laju cepat lebih batas cepat maksimal kota kmjam perawatanperbaikan kendara tidak optimal,UA
dasar hasil investigasi analisis simpul sebab jadi celaka kemudi mobil pick up mampu kendali kendara lengah dampak ubah arah kemudi masuk jalur lawan,PRE
sedang sebab fatalitas korban guna mobil barang angkut tumpang lengkap fasilitas selamat pada upa tempat duduk tempat pegang tangan bagaimana atur pp nomor tahun,UA
celaka jadi ketidakmampuan kemudi mobil bus henti kendaraaan turun flyover pada ujung utara dapat antri kendara arah lawan kemudi pilih arah kendara kiri tabrak pejal kaki terjun sawah,UA
hasil investigasi simpul celaka oleh kemudi alami lelah kurang ramburambu lalu lintas terang jalan akibat kemudi hilang kendali dahulu truk engkel tabrak mobil bus arah lawan,PRE
fatalitas tinggi korban celaka akibat air bag zona tabrak tidak tepat kena crash protection box beda tinggi mobil bus mobil tumpang tumpang tidak sabuk selamat,UA
fatalitas tinggi korban celaka akibat air bag zona tabrak tidak tepat kena crash protection box beda tinggi mobil bus mobil tumpang tumpang tidak sabuk selamat,PRE
fatalitas kemudi guna jalan lain oleh jadi korosi parah seluruh rangkai head tractor kereta tempel akibat kurang survival space kabin kemudi truk semi trailer guling lempar kontainer rangka landas timpa warungwarung duduk ada bahu jalan,PRE
fatalitas jadi jalan kertanegara desa giri moyo camat karang ploso kabupaten malang jawa timur rupa daerah toko mukim gudang dapat beberapa akses jalan lingkung fungsi jalan kolektor primer ini akibat kondisi lalu lintas campur bagai jenis kendara,PRE
dasar hasil investigasi analisis simpul sebab jadi celaka persepsi kemudi truk tronton posisi kendara tikung lewat marka tengah lebar bak muat overdimension akibat ruang jalur mobil bus kurang mana dapat antisipasi mobil bus gerak cepat ratarata di atas kmjam bentur dua kendara elak,UA
dasar hasil investigasi simpul jadi celaka oleh jam kerja kemudi lebih jam kerja kondisi kemudi ada sakit akibat kemudi alami lelah turun daya motorik tubuh akibat kemudi ruas jalan cekik batas kota negara kemudi dapat kendali kendara tambah ada potensi rollover mobil bus sedang isuzu elf nhr cukup tinggi akibat kendara guling tabrak dapat hindar,UA
dasar hasil investigasi simpul jadi celaka oleh jam kerja kemudi lebih jam kerja kondisi kemudi ada sakit akibat kemudi alami lelah turun daya motorik tubuh akibat kemudi ruas jalan cekik batas kota negara kemudi dapat kendali kendara tambah ada potensi rollover mobil bus sedang isuzu elf nhr cukup tinggi akibat kendara guling tabrak dapat hindar,PRE
hasil investigasi simpul jadi celaka sebab ada perbedaaan perangkat selamat sistem rem kendara tarik kereta tempel tangki sistem rem hino fm jd head tractor lengkap teknologi antilock brake system abs sedang sistem rem trailer tangki lengkap teknologi abs jadi rem dadak gera bagi head tractor kereta tempel jadi selaras roda head tractor slip rem kunci sedang roda kereta tempel kunci teknologi abs lanjut laju gera kendara baik head tractor maupun kereta tempel jadi kendali,UA
dasar hasil investigasi analisis simpul sebab jadi celaka mobil bus rawat cara kala sistem rem gerak kopling sistem pindah daya kerja optimal ini akibat mobil bus cepat tinggi lewat jalan turun curam dengan tikung tajam,PRE
fatalitas tambah pasang sabuk selamat tiap kursi tumpang karena tidak sempurna desain pasang pagar kam jalan,PRE
celaka jadi akibat tugas jpl lambat antisipasi datang kereta belum pintu lintas tutup sirine bunyi kendara masuk dalam lintas lanjut kemudi sudah ada di lintas alami turun situation awareness factor akibat panik sebab ambil putus keliru dampak mati mesin kendara tepat atas rel,PRE
celaka jadi akibat tugas jpl lambat antisipasi datang kereta belum pintu lintas tutup sirine bunyi kendara masuk dalam lintas lanjut kemudi sudah ada di lintas alami turun situation awareness factor akibat panik sebab ambil putus keliru dampak mati mesin kendara tepat atas rel,UA
fatalitas korban rendah tahan tubruk mobil bus khusus bagi pintu belakang lepas saat jadi tabrak tidak lengkap tempat duduk tumpang sabuk kam,PRE
hasil investigasi simpul jadi celaka sebab pilih rute alternatif jarak tempuh lebih panjang banding rute normal ketidakpahaman baca indikator tekan angin ada dashboard akibat operasi kendara laku cara kurang selamat terburuburu jadi ketidaktepatan laku tindak lambat jalan turun panjang mobil bus keluar jalur tikung lokasi jadi celaka,UA
fatalitas tinggi korban celaka akibat tidak sedia sabuk kam kursi tumpang,PRE
