text,label;
Fatalitas korban terjadi karena tidak tersedia sabuk keselamatan di semua kursi penumpang. Akibatnya saat mobil bus tabrak lereng, penumpang terlempar ke luar dan terbentur ke dinding samping. Ujung atau tepi pecahan kaca jendela bus wisata berbentuk tajam (non safety glass). Dan material superstruktur bus wisata pada pilar yang patah berupa besi hollow dan kondisinya korosi, sehingga atap plafon kanan bus wisata runtuh menimpa sandaran kursi mencapai survival space.,PRE;
Fatalitas korban terjadi karena tidak tersedia sabuk keselamatan di semua kursi penumpang. Akibatnya saat mobil bus tabrak lereng, penumpang terlempar ke luar dan terbentur ke dinding samping. Ujung atau tepi pecahan kaca jendela bus wisata berbentuk tajam (non safety glass). Dan material superstruktur bus wisata pada pilar yang patah berupa besi hollow dan kondisinya korosi, sehingga atap plafon kanan bus wisata runtuh menimpa sandaran kursi mencapai survival space.,UA;
"Berdasarkan temuan-temuan yang didapatkan dari investigasi maka faktor-faktor yang berkontribusi terhadap terjadinya kecelakaan adalah : 1. Penggunaan gigi tinggi pada jalan menurun yang memaksa pengemudi melakukan pengereman berulang kali dan hal ini ber resiko menurunkan tekanan angin pada tabung angin rem; 2. Selain itu, kondisi kendaraan dimana celah antara kampas dengan tromol di atas ambang batas yang ditetapkan.; 3. Pada saat memasuki Simpang Muara Rapak, tekanan angin pada tabung angin rem hanya sisa 5 bar dan hal ini yang menyebabkan pengemudi tidak mampu melakukan pengereman kendaraan sehingga kecelakaan itu terjadi.,UA";
Seementara itu peningkatan fatalitas pada kecelakaan ini terjadi karena tidak tersedianya jalur penyelamat pada jalan menurun, serta penggunaan bumper depan yang terbuat dari besi sehingga meningkatkan daya rusak saat truk dimaksud menabrak kendaraan lainnya.,PRE;
Berdasarkan hasil investigasi dan analisis dapat disimpulkan bahwa penyebab terjadinya kecelakaan tabrakan beruntun adalah kurangnya waktu dan kualitas istirahat Pramudi 1, sehingga mengakibatkan terjadinya kelelahan dan microsleep saat bertugas. Tidak ditemukan adanya perlengkapan jalan yang mampu memberikan informasi baik berupa rambu-rambu lalu lintas maupun pita penggaduh, mengakibatkan Pramudi 1 kurang waspada saat mendekati Halte Cawang Ciliwung dan tidak menyadari masih terdapat Bus 2 yang berada didepannya berhenti sehingga menabraknya dari belakang.,PRE;
Penyebab terjadinya peningkatan fatalitas korban adalah korban yang berada pada bak belakang truk melompat dan terlempar keluar, sementara kondisi jalan berupa beton dan drainase terbuka yang juga terbuat dari beton rigid, lebar dan dalam. Daya dorong saat melompat dan benturan kepala dengan beton yang menyebabkan fatalitas korban.,UA;
Berdasarkan hasil investigasi dan analisis dapat disimpulkan bahwa penyebab terjadinya kecelakaan tabrakan beruntun di Turunan FO Kretek adalah Risiko FO Kretek adalah bentang menurun menuju Bumiayu yang berjarak ± 2 kilometer. Persediaan udara di tabung akan cepat berkurang karena pakai rem utama berulang-ulang. Katup buang tabung model kran, risiko terjadi kebocoran dan kehilangan udara karena tidak ada pegas pembalik sebagai pengaman. Saat persediaan udara di tabung berkurang, mengakibatkan kekuatan tekanan aktuasi fluida ke master silinder tidak mencapai gaya pengereman maksimum di setiap roda. Melebihi berat maksimum kendaraan yang diijinkan sebesar 72,6 %, tidak hanya berbahaya tetapi juga merupakan pelanggaran yang membawa berbagai risiko. Kerusakan parah yang sering terjadi pada area pengereman kendaraan termasuk efek dari kelebihan beban.,UA;
Fatalitas korban terjadi karena tipe jalan Bumiayu-Purwokerto adalah 2 lajur 2 arah tanpa median, berisiko adanya benturan antar kendaraan berlawanan arah. Tidak tersedia sabuk keselamatan di kursi pengemudi berkontribusi terlemparnya pengemudi keluar kabin pada tabrakan pertama, sehingga terjadi tabrakan kedua dengan truk dan sepeda motor.,UA;
Fatalitas korban terjadi karena tipe jalan Bumiayu-Purwokerto adalah 2 lajur 2 arah tanpa median, berisiko adanya benturan antar kendaraan berlawanan arah. Tidak tersedia sabuk keselamatan di kursi pengemudi berkontribusi terlemparnya pengemudi keluar kabin pada tabrakan pertama, sehingga terjadi tabrakan kedua dengan truk dan sepeda motor.,PRE;
Pengemudi bus mengemudikan kendaraan dengan kecepatan 122 km/jam sehingga kurang dapat mengantisipasi truk box yang tiba-tiba masuk ke lajur sebelah kanan untuk mendahului kendaraan yang berada di depannya. Selanjutnya saat terjadi step steeering input mobil bus ke arah kiri, truk box kembali ke lajur kiri karena mendengar suara klakson bus. Sehingga bagian depan sebelah kanan bus membentur bagian belakang dan sebelah kiri atas truk box. Bus menabrak pagar pengaman (guardrail) agar tidak ada korban di sisi sebelah kiri, kembali terjadi step steering input mobil bus ke sebelah kanan. Selanjutnya bus oleng kemudian terguling di lajur 1 (satu) dan terseret sejauh 50 meter. Bus berhenti dalam posisi bagian sebelah kanan berada di atas. Hal ini ditunjukkan dengan skidmark yang ditemukan di lokasi kejadian.,UA;
Fatalitas korban terjadi karena kursi penumpang tidak dilengkapi dengan sabuk keselamatan. Pada saat bus terguling, para penumpang terbentur kompartemen kabin dan beberapa penumpang terlempar keluar bus kemudian tertimpa bodi bus.,PRE;
Berdasarkan hasil investigasi dan analisis dapat disimpulkan bahwa penyebab truk tronton meluncur tak terkendali di bentang menurun dan terjadi tabrakan beruntun adalah gagalnya perlambatan dikarenakan kondisi jalan turunan panjang dan curam yang cenderung memaksa pengguna jalan untuk melakukan pengereman menggunakan rem utama berkali-kali, tanpa diawali teknik pengereman mesin (engine braking),UA;
Fatalitas tinggi pada korban kecelakaan diakibatkan oleh Pengemudi gagal membelokkan truk tronton ke jalan yang seharusnya dilewati tapi bergerak ke arah jalan lurus yang lalu lintasnya lebih ramai.,UA;
Berdasarkan hasil investigasi dan analisis dapat disimpulkan bahwa penyebab terjadinya kecelakaan tunggal mobil bus B 7314 NGA terguling di Tikungan Harmoko adalah karakteristik tikungan yang tajam dan ganda dengan kondisi kabut tebal serta terhalang oleh pepohonan dari arah Jambi membuat jarak pandang pendek. Pengemudi yang tidak punya pengalaman rute perjalanan dan kurangnya info cuaca, berisiko gagal menghadapi berbagai jenis ancaman yang disebabkan oleh kondisi jalan dan lingkungan. Seharusnya menunda melanjutkan perjalanan atau melakukan tindakan penyelamatan yaitu saat melewati Tikungan Harmoko mengurangi kecepatan memakai engine brake dan exhause brake,PRE;
Berdasarkan hasil investigasi dan analisis dapat disimpulkan bahwa penyebab terjadinya kecelakaan tunggal mobil bus B 7314 NGA terguling di Tikungan Harmoko adalah karakteristik tikungan yang tajam dan ganda dengan kondisi kabut tebal serta terhalang oleh pepohonan dari arah Jambi membuat jarak pandang pendek. Pengemudi yang tidak punya pengalaman rute perjalanan dan kurangnya info cuaca, berisiko gagal menghadapi berbagai jenis ancaman yang disebabkan oleh kondisi jalan dan lingkungan. Seharusnya menunda melanjutkan perjalanan atau melakukan tindakan penyelamatan yaitu saat melewati Tikungan Harmoko mengurangi kecepatan memakai engine brake dan exhause brake,UA;
Fatalitas korban terjadi karena ketersediaan sabuk keselamatan di semua kursi penumpang, tidak dipakai kebanyakan penumpang. Akibatnya saat mobil bus terguling, penumpang di kursi sebelah kanan menimpa penumpang di kursi sebelah kiri mendorong ke dinding samping yang berisiko cedera pada kepala dan rusuk.,UA;
Berdasarkan hasil investigasi dan analisis dapat disimpulkan bahwa penyebab terjadinya kecelakaan tunggal jatuh ke jurang adalah bus wisata datang dari arah Malangbong melewati Jalan Raya Malangbong-Wado dengan medan pegunungan yang berkelok-kelok, tanjakan dan turunan panjang tanpa diawali penggunaan remmesin (engine brake) dan exhaust brake untuk mengurangi kecepatan, pengemudi tidak mengetahui ada tikungan yang terdapat halangan yang membahayakan, berupa penghalang pandangan lereng dan pepohonan. Akibatnya mobil bus bergerak lurus mendekati jurang dan terguling tiga kali.,UA;
Fatalitas korban terjadi karena bus wisata tidak terpasang sabuk keselamatan pada semua tempat duduk terkecuali hanya di kursi pengemudi. Hal ini berkontribusi karena saat bus wisata jatuh ke jurang, banyak penumpang terbentur kompartemen kabin dan terlempar ke luar saat jendela pecah kemudian tertimpa bodi bus yang terguling,PRE;
Fatalitas tinggi pada korban kecelakaan diakibatkan oleh tidak adanya Airbag, zona tabrakan tidak tepat mengenai Crash Protection Box, serta penumpang yang tidak menggunakan sabuk keselamatan.,PRE;
Fatalitas tinggi pada korban kecelakaan diakibatkan oleh tidak adanya Airbag, zona tabrakan tidak tepat mengenai Crash Protection Box, serta penumpang yang tidak menggunakan sabuk keselamatan.,UA;
Penggunaan perseneleng dan kecepatan kendaraan yang kurang tepat di jalur turunan panjang Bawen dimana seharusnya mengunakan gigi rendah dan dibantu engine brake. Material pipa/selang udara dari tabung yang menghubungkan ke master sentral/servo kondisi materialnya tidak original hal tersebut dibuktikan terjadi puntiran pipa yang dapat mengakibatkan mengecilnya diameter pipa saluran udara sehingga kapasitas udara untuk mendorong servo ke master sentral menjadi berkurang.,UA;
Berdasarkan hasil investigasi dan analisis dapat disimpulkan bahwa penyebab terjadinya kebakaran mobil bus adalah kotak sekring utama dipakai menyimpan barang berupa kertas, plastik dan lainnya. Risiko kabel yang terkelupas atau soket relay rusak/hangus bercampur dengan bahan yang mudah terbakar.,UA;
Berdasarkan hasil investigasi dan analisis dapat disimpulkan bahwa penyebab terjadinya kecelakaan tabrakan beruntun adalah gagalnya perlambatan di jalan turunan panjang dan curam karena pengemudi tidak dapat melihat potensi bahaya yaitu melakukan pengereman menggunakan rem utama berkali-kali, tanpa diawali teknik engine braking dan exhaust brake serta kecepatan perputaran mesin di 2500 RPMdianggap over speed. Akibatnya persediaan udara di tangki menipis dan fluida yang mendorong master cylinder tidak optimal.,UA;
Dari hasil Investigasi, penyebab terjadinya kecelakaan adalah kurangnya situational awareness yang dimiliki oleh pengemudi truk tronton dan pengemudi truk trailer sehingga lampu isyarat peringatan bahaya atau lampu isyarat lain yang seharusnya dinyalakan pada saat berhenti atau parkir dalam keadaan darurat di jalan sesuai pasal 121 UU 22 Tahun 2009 tentang LLAJ.,PRE;
Dari hasil Investigasi, penyebab terjadinya kecelakaan adalah kurangnya situational awareness yang dimiliki oleh pengemudi truk tronton dan pengemudi truk trailer sehingga lampu isyarat peringatan bahaya atau lampu isyarat lain yang seharusnya dinyalakan pada saat berhenti atau parkir dalam keadaan darurat di jalan sesuai pasal 121 UU 22 Tahun 2009 tentang LLAJ.,UA;
Fatalitas tinggi pada korban kecelakaan diakibatkan zona tabrakan tidak tepat mengenai Crash Protection Box serta penumpang yang tidak menggunakan sabuk keselamatan. Sabuk keselamatan yang tidak tergunakan, dan muatan pompa dan sepeda motor yang bermaterial besi yang seharusnya diangkut terpisah dari kendaraan angkutan penumpang,UA;
Berdasarkan hasil investigasi dan analisis dapat disimpulkan bahwa penyebab terjadinya kecelakaan adalah merupakan kombinasi penyebab primer dan sekunder. Untuk penyebab primer adalah mobil bus berukuran besar dan memiliki kapasitas tempat duduk lebih dari 30 orang yang sedang menuju kawasan wisata Dieng dapat melewati posko pengawasan dan retribusi hingga tiba di kawasan Dieng. Untuk penyebab sekunder adalah pengemudi yang tidak memiliki pengalaman cukup dalam melewati rute Kejajar-Dieng dan tatacara mengemudi yang benar ketika melalui jalan menurun panjang tidak dilakukan menyebabkan bus tidak dapat dikendalikan dan terjadi tabrakan beruntun.,UA;
Berdasarkan hasil investigasi dan analisis dapat disimpulkan bahwa penyebab terjadinya kecelakaan tabrak belakang adalah Mobil bus mendahului kendaraan lain ke sebelah kiri pada titik yang tidak terlihat (blinspot), mobil bus langsung tabrak belakang truk tronton (yang terparkir lama ± 12 jam) di bahu jalan sehingga merobek kabin penumpang dan menghantam penumpang yang berada di sisi kiri.,UA;
Fatalitas korban terjadi karena tidak adanya Rear Underride Protection Device (RUPD) di truk tronton untuk melindungi tabrakan antara mobil kecil dan truk bagian belakang.,PRE;
Dari hasil investigasi dapat disimpulkan bahwa kecelakaan disebabkan oleh faktor pengemudi yang kelelahan dan terjadinya microsleep, sehingga kehilangan kendali dalam mengemudi karena kekurangwaspadaan dan keluar dari jalur lalu lintas.,PRE;
Microbus keluar jalur dan masuk kearah berlawanan dan superstructure microbus belum mampu untuk menahan ketika mengalami benturan, serta tidak digunakannya sabuk keselamatan di kursi penumpang.,PRE;
Microbus keluar jalur dan masuk kearah berlawanan dan superstructure microbus belum mampu untuk menahan ketika mengalami benturan, serta tidak digunakannya sabuk keselamatan di kursi penumpang.,UA;
Penyebab terjadinya kecelakaan adalah system rem tidak optimal beroperasi dikarenakan supply udara tekan dari kompresor ke air dryer terganggu akibat conecting hose aus/longgar dan diikat karet.,UA;
Pada Superstructure mobil bus belum mampu untuk menahan ketika mengalami benturan ketika terguling/rollover, serta tidak adanya sabuk keselamatan pada kursi penumpang.,PRE;
"Berdasarkan hasil investigasi dan analisis dapat disimpulkan bahwa penyebab terjadinya kecelakaan secara langsung merupakan kombinasi tindakan tidak berkeselamatan yang dilakukan secara bersamaan dalam satu waktu, terdiri atas : a. Selang flexible yang berada dalam kondisi getas terlepas ketika mobil tangki gagal melalui medan tanjakan yang ekstrim disebabkan penggunaan gigi transmisi yang tidak sesuai; b. Mundurnya mobil tangki yang overload tidak dapat terantisipasi oleh penggunaan rem parkir yang saat itu kinerjanya rendah; c. Mundurnya mobil tangki yang overload tidak dapat terantisipasi oleh pengganjalan roda karena tidak digunakannya ganjal ban khusus.,UA";
Berdasarkan hasil investigasi dan analisis dapat disimpulkan bahwa penyebab terjadinya kecelakaan kegagalan pengereman adalah penggunaan gigi persnelling tinggi dan kecepatan tinggi pada jalan menurun yang memaksa sistem rem utama mobil bus bekerja secara maksimal. Kondisi teknis mobil bus yang tidak prima menyebabkan terjadinya malfunction pada saat digunakan secara maksimal, hal ini ditandai dengan lepasnya selang udara yang mengakibatkan udara pada airtank kosong, kebocoran pada seal silinder roda serta terjadinya overheat pada ruang tromol yang berdampak pada menurunnya koefisien gesek (µķ) kampas terhadap tromol.,UA;
Sementara penyebab fatalitas korban adalah pagar pengaman jalan yang desain teknisnya tidak seragam. Karakteristik geometrik pada lokasi kejadian, berupa alinyemen vertikal jalan menurun panjang, alinyemen horizontal adalah tikungan ganda serta penampang melintang jalan berupa jalan dua arah dua jalur tanpa median dengan lebar jalan 7 meter. Kondisi geometrik ini akan menimbulkan gaya sentrifugal saat kendaraan berbelok ke kanan menuju jembatan (gaya yang menarik kendaraan ke arah jurang) sehingga seharusnya sudah diperhitungkan penggunaan pagar pengaman jalan dengan desain teknis yang memadai untuk dapat menyelamatkan kendaraan yang hilang kendali atau mengalami kegagalan saat akan berbelok.,PRE;
Berdasarkan hasil investigasi dan analisis dapat disimpulkan bahwa faktor penyebab terjadinya kecelakaan tabrakan beruntun di Jalan Raya Malang-Surabaya Sentul Purwodadi adalah perubahan tipe terhadap dimensi dan kemampuan daya angkut pada truk flat deck, akibatnya berat muatan melebihi daya angkut. Sistem rem menunjukan kegagalan yang berakibat tidak berfungsinya sistem rem saat dioperasikan di jalan turunan panjang, serta cara penggunaan rem utama tidak diawali engine brake dan exhaust brake untuk mengurangi kecepatan.,UA;
Berdasarkan hasil investigasi dan analisis dapat disimpulkan bahwa faktor penyebab terjadinya kecelakaan tabrakan beruntun di Jalan Raya Malang-Surabaya Sentul Purwodadi adalah perubahan tipe terhadap dimensi dan kemampuan daya angkut pada truk flat deck, akibatnya berat muatan melebihi daya angkut. Sistem rem menunjukan kegagalan yang berakibat tidak berfungsinya sistem rem saat dioperasikan di jalan turunan panjang, serta cara penggunaan rem utama tidak diawali engine brake dan exhaust brake untuk mengurangi kecepatan.,PRE;
Fatalitas korban terjadi karena lebar jalan sekitar 5 meter sehingga saat satu kendaraan putar arah ke jalur menuju Malang, maka manuver akan memakai lajur kiri. Akibatnya terjadi antrian kendaraan di lajur kiri sampai dengan manuver kendaraan putar arah berhasil. Hal ini berisiko tinggi, ketika di jalan nasional dengan kondisi jalanan turunan panjang lurus terdapat hambatan-hambatan dan menjadi bahaya pada saat keadaan darurat.,PRE;
Dari hasil investigasi dapat disimpulkan bahwa kecelakaan disebabkan oleh tata cara berkendara pengemudi truk trailer yang menggunakan lajur 2 (dua).,UA;
Berdasarkan hasil investigasi dan analisis dapat disimpulkan bahwa penyebab terjadinya kecelakaan adalah Pengemudi pertama mobil bus AKAP tidak dapat mengantisipasi hal yang akan terjadi dengan menggunakan persneling gigi kelima (kecepatan diatas 70 km/jam) di geometrik jalan menikung ke kiri dan menanjak. Adanya perbedaan ketinggian antara badan jalan dengan bahu jalan serta terbatasnya pandangan pengemudi menjadi faktor berkontribusi juga pada kecelakaan ini. Akibatnya setelah melewati jembatan Way Capang di Way Tuba, mobil bus AKAP gagal di tikungan dan terguling mengakibatkan atap mobil bus AKAP menabrak truk tangki CPO yang datang dari arah berlawanan.,PRE;
Berdasarkan hasil investigasi dan analisis dapat disimpulkan bahwa penyebab terjadinya kecelakaan adalah Pengemudi pertama mobil bus AKAP tidak dapat mengantisipasi hal yang akan terjadi dengan menggunakan persneling gigi kelima (kecepatan diatas 70 km/jam) di geometrik jalan menikung ke kiri dan menanjak. Adanya perbedaan ketinggian antara badan jalan dengan bahu jalan serta terbatasnya pandangan pengemudi menjadi faktor berkontribusi juga pada kecelakaan ini. Akibatnya setelah melewati jembatan Way Capang di Way Tuba, mobil bus AKAP gagal di tikungan dan terguling mengakibatkan atap mobil bus AKAP menabrak truk tangki CPO yang datang dari arah berlawanan.,UA;
Fatalitas korban terjadi karena dampak kerusakan akibat benturan yaitu deformasi pada bagian atap mobil bus mengakibatkan penumpang di belakang pengemudi mengalami kematian dan cedera berat. Hal ini dikarenakan kecepatan secara langsung terkait dengan keparahan cedera dalam kecelakaan. Probabilitas cedera parah meningkat tajam dengan dampak kecepatan kendaraan dalam tabrakan. Survival space sudah tidak ada saat superstruktur bagian atap tidak dapat menahan beban ketika terjadi benturan dengan bagian depan truk tangki CPO.,PRE;
Penyebab terjadinya kecelakaan pada dump truck A dan B adalah kebijakan mengenai pemberian waktu pemotongan bak overdimension yang dilakukan dalam waktu 6 bulan mengakibatkan dump truck A dan B yang overdimension lolos uji dan mengalami overload sehingga terjadi kegagalan pengereman saat menuruni turunan panjang di Tol Cipularang KM 90-100,UA;
Penyebab terjadinya fatalitas peristiwa kecelakaan ini disebabkan dua hal yakni tidak digunakannya sabuk keselamatan pada dump truck B mengakibatkan pengemudi terlempar dan tergencet sisi kanan dump truck dan kecepatan dump truck A yang diatas 100 km/jam mengakibatkan dump truck A yang overload memiliki momentum yang besar sehingga menghancurkan kendaraan-kendaraan yang sedang berhenti.,UA;
Berdasarkan hasil investigasi dan analisis dapat disimpulkan bahwa penyebab terjadinya kecelakaan adalah perubahan sudut kemudi yang cepat (step steering input) mobil penumpang mengarah ke kiri dari lajur 3 menuju lajur 2 tepat pada sisi kanan truk trailer tangki, truk trailer tangki menghindar ke kiri. Kedua kendaraan kehilangan kendali, kemudian mengarah ke kiri pada lajur 1 dan menabrak pagar pengaman jalan. Panas dari manhole dan bottom loading cabinet terbakar, mengakibatkan logam tangki melunak dan uap bensin dalam tangki mengembang sehingga tekanan meningkat. Setelah mengembang, uapnya menyulut dan menyebabkan reaksi ledakan. Ledakan ini dapat merobek tangki dan menimbulkan gaya dorong pada kedua kendaraan sehingga melambung, dan saat mendarat fifth wheel tractor head patah sehingga jatuh ke bawah jalan layang. Sedangkan posisi akhir dari trailer tangki dan mobil penumpang terdorong sejauh 30 meter dari posisi awal kedua kendaraan menabrak pagar pengaman. Ledakan itu sendiri menghasilkan panas untuk menguapkan bahan bakar dan menyediakan sumber pengapian untuk uap baru yang dihasilkan sehingga kebakaran di trailer tangki dan mobil penumpang terjadi.,UA;
Fatalitas korban terjadi karena gaya yang terjadi saat kecelakaan adalah sebesar 69 KN. Hal ini berarti gaya dorong yang diterima oleh AMT saat benturan adalah lebih dari 10 kali lipat dari nilai kritis pada Neck Injury Criteria, sehingga berdasarkan analisis biomekanik cedera tersebut mengakibatkan AMT tidak sadarkan diri bahkan meninggal seketika. Temuan di mobil penumpang, pengikat sabuk keselamatan terpasang pada pengunci sabuk di kursi pengemudi mobil penumpang. Ini dapat menjadi bukti bahwa pengemudi mobil penumpang memakai sabuk keselamatan. Skid mark mobil penumpang yang ditemukan pada lokasi kecelakaan, telah terjadi step steering input atau perubahan sudut kemudi seketika dengan kecepatan yang tetap. Hal ini mengindikasikan bahwa pengemudi mobil penumpang mengalami kehilangan kesadaran ataupun microsleep (kecelakaan terjadi pada dini hari).,PRE;
"Berdasarkan hasil investigasi dan analisis dapat disimpulkan bahwa penyebab terjadinya kecelakaan adalah secara langsung merupakan kombinasi tindakan tidak berkeselamatan yang dilakukan secara bersamaan dalam satu waktu, terdiri atas : a. Kekurangwaspadaan pengguna jalan ketika melintasi perlintasan sebidang yang diindikasikan dengan mengindahkan tanda rambu STOP dan juga peringatan penjaga pintu perlintasan ketika palang pintu dalam kondisi hendak ditutup; b. Tindakan reaksi yang kurang tepat dalam mengatasi kendaraan yang terlanjur berhenti di perlintasan sebidang dimana dapat menyelamatkan jiwa dengan dua hal yakni mengeluarkan paksa penumpang dari dalammobil atau menghentikan laju kereta dengan berlari mendekati ke arah kereta sembari memberikan tanda isyarat agar kereta berhenti; c. Ketidakmampuan pengendalian kendaraan yang disebabkan oleh jalan di perlintasan sebidang yang tidak memenuhi syarat geometrik dan struktur dimana kemiringan jalan serta struktur jalan berbatu tidak memenuhi standar jalan berkeselamatan;,UA";
"Berdasarkan hasil investigasi dan analisis dapat disimpulkan bahwa penyebab terjadinya kecelakaan adalah secara langsung merupakan kombinasi tindakan tidak berkeselamatan yang dilakukan secara bersamaan dalam satu waktu, terdiri atas : a. Kekurangwaspadaan pengguna jalan ketika melintasi perlintasan sebidang yang diindikasikan dengan mengindahkan tanda rambu STOP dan juga peringatan penjaga pintu perlintasan ketika palang pintu dalam kondisi hendak ditutup; b. Tindakan reaksi yang kurang tepat dalam mengatasi kendaraan yang terlanjur berhenti di perlintasan sebidang dimana dapat menyelamatkan jiwa dengan dua hal yakni mengeluarkan paksa penumpang dari dalammobil atau menghentikan laju kereta dengan berlari mendekati ke arah kereta sembari memberikan tanda isyarat agar kereta berhenti; c. Ketidakmampuan pengendalian kendaraan yang disebabkan oleh jalan di perlintasan sebidang yang tidak memenuhi syarat geometrik dan struktur dimana kemiringan jalan serta struktur jalan berbatu tidak memenuhi standar jalan berkeselamatan;,PRE";
Berdasarkan temuan terhadap terjadinya kecelakaan dapat disimpulkan bahwa terjadinya tingkat fatalitas kecelakaan tinggi yang mengakibatkan 8 orang penumpang meninggal dunia adalah karena tidak digunakannya sabuk keselamatan yang telah tersedia di masing-masing kursi penumpang. Selain itu, tindakan pengereman secara full service yang terlambat dilakukan mengakibatkan terlalu besarnya pengurangan survival space serta terlemparnya penumpang dengan kecepatan tinggi.,UA;
Berdasarkan hasil investigasi dan analisis dapat disimpulkan bahwa penyebab terjadinya kecelakaan tabrakan beruntun adalah Pengemudi tidak mampu menguasai kendaraannya disebabkan karena adanya interaksi langsung penumpang dengan pengemudi yang mengganggu konsentrasi pengemudi. Akibatnya pengemudi kehilangan kendali atas kemudi sehingga arah mobil bus berbelok menuju median dan menyebrang ke jalur berlawanan sehingga terjadi tabrakan beruntun yang mengakibatkan fatalitas tinggi dan cedera berat.,UA;
