Unnamed: 0,TEXT,TARGET_LIST
13.0,"Penyebab kecelakaan mungkin termasuk kurangnya pengetahuan pengemudi mengenai rute, kondisi jalan yang buruk, penggunaan komponen rem yang tidak sesuai, dan muatan berlebih, yang mempersulit mengatasi kondisi mendadak.","[1.0, 0.0, 0.0, 0.0, 0.0]"
14.0,"Kecelakaan mungkin disebabkan oleh kurangnya familiaritas pengemudi terhadap rute, kondisi jalan rusak, penggunaan kanvas rem non-standar, dan muatan melebihi kapasitas, menyulitkan penanganan situasi tak terduga.","[1.0, 0.0, 0.0, 0.0, 0.0]"
15.0,"Kecelakaan ini kemungkinan diakibatkan oleh ketidakfamiliaran pengemudi dengan rute, kondisi jalan rusak, kanvas rem yang tidak memenuhi standar, dan kelebihan muatan, yang mengurangi kemampuan mengatasi situasi darurat.","[1.0, 0.0, 0.0, 0.0, 0.0]"
16.0,"Kecelakaan ini mungkin disebabkan oleh ketidakakraban pengemudi dengan rute, kondisi jalan yang buruk, penggunaan komponen rem tidak sesuai standar, dan muatan berlebihan, mempengaruhi kemampuan mengatasi situasi darurat.","[1.0, 0.0, 0.0, 0.0, 0.0]"
17.0,"Kecelakaan mungkin terjadi karena pengemudi tidak familiar dengan rute, jalan rusak, komponen rem yang tidak standar, dan muatan berlebih, mempengaruhi respons dalam situasi kritis.","[1.0, 0.0, 0.0, 0.0, 0.0]"
18.0,"Penyebab kecelakaan potensial termasuk ketidakfamiliaran pengemudi pada rute, kondisi jalan yang rusak, penggunaan kanvas rem tidak standar, dan kelebihan muatan, mempersulit penanganan situasi mendadak.","[1.0, 0.0, 0.0, 0.0, 0.0]"
19.0,"Kecelakaan mungkin disebabkan oleh kurangnya pengetahuan pengemudi tentang rute, jalan rusak, penggunaan kanvas rem tidak sesuai, dan muatan yang melebihi kapasitas, mengakibatkan kesulitan dalam situasi kritis.","[1.0, 0.0, 0.0, 0.0, 0.0]"
20.0,"Kemungkinan penyebab kecelakaan adalah kurangnya pengenalan pengemudi terhadap rute, kondisi jalan yang buruk, komponen rem tidak standar, dan kelebihan muatan, yang berakibat pada kesulitan dalam situasi darurat.","[1.0, 0.0, 0.0, 0.0, 0.0]"
21.0,"Kecelakaan dapat terjadi akibat pengemudi yang kurang mengenal rute, kondisi jalan rusak, penggunaan kanvas rem yang tidak sesuai standar, dan muatan berlebihan, menyulitkan penanganan kondisi mendesak.","[1.0, 0.0, 0.0, 0.0, 0.0]"
22.0,"Penyebab kecelakaan termasuk ketidakterbiasaan pengemudi dengan rute, kondisi jalan yang buruk, penggunaan kanvas rem yang tidak standar, dan muatan berlebih, yang mempengaruhi kemampuan mengatasi keadaan darurat.","[1.0, 0.0, 0.0, 0.0, 0.0]"
23.0,"Kecelakaan kemungkinan disebabkan oleh ketidakfamiliaran pengemudi terhadap rute, kondisi jalan yang rusak, penggunaan komponen rem yang tidak standar, dan muatan melebihi kapasitas, menghambat penanganan situasi tak terduga.","[1.0, 0.0, 0.0, 0.0, 0.0]"
24.0,"Faktor penyebab kecelakaan mungkin termasuk kurangnya pengenalan pengemudi terhadap rute, kondisi jalan rusak, penggunaan kanvas rem tidak standar, dan kelebihan muatan, mempersulit penanganan kondisi darurat.","[1.0, 0.0, 0.0, 0.0, 0.0]"
25.0,"Penyebab potensial kecelakaan ini termasuk ketidakfamiliaran pengemudi dengan rute, kondisi jalan yang rusak, penggunaan kanvas rem yang tidak standar, dan muatan yang melebihi batas, mempengaruhi pengendalian situasi darurat.","[1.0, 0.0, 0.0, 0.0, 0.0]"
26.0,"Kecelakaan mungkin disebabkan oleh kurangnya pengetahuan pengemudi mengenai rute, kondisi jalan yang buruk, kanvas rem yang tidak sesuai standar, dan muatan berlebih, yang berdampak pada kemampuan mengatasi keadaan tak terduga.","[1.0, 0.0, 0.0, 0.0, 0.0]"
27.0,"Kemungkinan rangkaian penyebab kecelakaan meliputi ketidakfamiliaran pengemudi dengan rute, kondisi jalan yang tidak baik, penggunaan kanvas rem yang tidak standar, dan muatan berlebih, mempengaruhi kemampuan menghadapi situasi mendadak.","[1.0, 0.0, 0.0, 0.0, 0.0]"
28.0,"Kecelakaan ini mungkin terjadi akibat pengemudi yang tidak familiar dengan rute, kondisi jalan rusak, penggunaan komponen rem yang tidak standar, dan muatan melebihi kapasitas, menyulitkan penanganan kondisi darurat.","[1.0, 0.0, 0.0, 0.0, 0.0]"
29.0,"Penyebab kecelakaan mungkin termasuk ketidakfamiliaran pengemudi terhadap rute, kondisi jalan yang rusak, penggunaan komponen rem yang tidak standar, dan kelebihan muatan, yang mempengaruhi kemampuan mengatasi situasi mendesak.","[1.0, 0.0, 0.0, 0.0, 0.0]"
30.0,"Kecelakaan dapat disebabkan oleh kurangnya pengenalan pengemudi pada rute, kondisi jalan yang buruk, penggunaan kanvas rem yang tidak standar, dan muatan berlebih, yang mempengaruhi kemampuan menghadapi situasi kritis.","[1.0, 0.0, 0.0, 0.0, 0.0]"
,"Pengemudi yang tidak memiliki kompetensi (SIM) untuk mengemudikan kendaraan bermotor, khususnya kendaraan bermotor angkutan berat (peti kemas).","[1.0, 0.0, 0.0, 0.0, 0.0]"
1.0,"Pengemudi tanpa SIM yang sesuai untuk kendaraan angkutan berat seperti peti kemas, menunjukkan kurangnya kompetensi dalam mengemudikan jenis kendaraan ini.","[1.0, 0.0, 0.0, 0.0, 0.0]"
2.0,"Kecelakaan terjadi akibat pengemudi yang tidak memiliki SIM kompeten untuk mengoperasikan kendaraan bermotor, khususnya angkutan berat peti kemas.","[1.0, 0.0, 0.0, 0.0, 0.0]"
3.0,"Pengemudi tidak memiliki SIM yang diperlukan untuk kendaraan angkutan berat, menunjukkan kurangnya kualifikasi dalam mengemudikan kendaraan seperti peti kemas.","[1.0, 0.0, 0.0, 0.0, 0.0]"
4.0,"Pengemudi yang mengoperasikan kendaraan angkutan berat tanpa memiliki SIM yang tepat, khususnya untuk peti kemas, menunjukkan kekurangan dalam kompetensi mengemudi.","[1.0, 0.0, 0.0, 0.0, 0.0]"
5.0,"Kekurangan kompetensi terlihat pada pengemudi yang tidak memegang SIM yang sesuai untuk mengemudikan kendaraan angkutan berat, seperti peti kemas.","[1.0, 0.0, 0.0, 0.0, 0.0]"
6.0,"Pengemudi kendaraan angkutan berat, khususnya peti kemas, tanpa SIM yang sesuai, menunjukkan adanya kekurangan dalam keterampilan mengemudi.","[1.0, 0.0, 0.0, 0.0, 0.0]"
7.0,"Kecelakaan disebabkan oleh pengemudi yang tidak memiliki SIM yang valid untuk mengemudikan kendaraan bermotor angkutan berat, termasuk peti kemas.","[1.0, 0.0, 0.0, 0.0, 0.0]"
8.0,"Pengemudi yang mengoperasikan kendaraan bermotor angkutan berat tanpa SIM yang sesuai, seperti peti kemas, mengindikasikan kurangnya kompetensi mengemudi.","[1.0, 0.0, 0.0, 0.0, 0.0]"
9.0,"Kecelakaan terkait dengan pengemudi yang tidak memenuhi syarat mengemudikan kendaraan angkutan berat, terutama peti kemas, karena tidak memiliki SIM yang kompeten.","[1.0, 0.0, 0.0, 0.0, 0.0]"
10.0,"Pengemudi yang tidak berkompeten dan tidak memiliki SIM yang sesuai untuk mengemudikan kendaraan angkutan berat, khususnya peti kemas, menyebabkan risiko tinggi.","[1.0, 0.0, 0.0, 0.0, 0.0]"
11.0,"Kecelakaan akibat pengemudi yang tidak memiliki SIM yang diperlukan untuk mengemudikan kendaraan bermotor, terutama kendaraan angkutan berat seperti peti kemas.","[1.0, 0.0, 0.0, 0.0, 0.0]"
12.0,"Pengemudi kendaraan angkutan berat, khususnya peti kemas, tanpa SIM yang sesuai menunjukkan defisiensi dalam kompetensi mengemudi.","[1.0, 0.0, 0.0, 0.0, 0.0]"
13.0,"Pengemudi yang mengemudikan kendaraan angkutan berat tanpa SIM yang sesuai, terutama peti kemas, menunjukkan kurangnya keahlian mengemudi yang diperlukan.","[1.0, 0.0, 0.0, 0.0, 0.0]"
14.0,"Kecelakaan melibatkan pengemudi yang tidak memiliki SIM yang tepat untuk mengemudikan kendaraan angkutan berat, seperti peti kemas, menandakan kurangnya kompetensi.","[1.0, 0.0, 0.0, 0.0, 0.0]"
15.0,"Pengemudi tanpa SIM yang memadai untuk kendaraan angkutan berat, khususnya peti kemas, mencerminkan kekurangan dalam kemampuan mengemudi yang diperlukan.","[1.0, 0.0, 0.0, 0.0, 0.0]"
16.0,"Kecelakaan melibatkan pengemudi tanpa SIM yang diperlukan untuk kendaraan angkutan berat, seperti peti kemas, menandakan defisiensi keterampilan mengemudi.","[1.0, 0.0, 0.0, 0.0, 0.0]"
17.0,"Kurangnya kompetensi mengemudi pada pengemudi yang tidak memiliki SIM untuk kendaraan bermotor angkutan berat, terutama peti kemas, menjadi penyebab kecelakaan.","[1.0, 0.0, 0.0, 0.0, 0.0]"
18.0,"Pengemudi yang mengemudikan kendaraan angkutan berat peti kemas tanpa SIM yang sesuai, menunjukkan kesenjangan kompetensi mengemudi yang signifikan.","[1.0, 0.0, 0.0, 0.0, 0.0]"
19.0,Kecelakaan terjadi karena pengemudi mengoperasikan kendaraan angkutan berat seperti peti kemas tanpa memiliki SIM yang mengindikasikan kompetensi yang cukup.,"[1.0, 0.0, 0.0, 0.0, 0.0]"
20.0,"Kecelakaan dikaitkan dengan pengemudi yang tidak memiliki SIM kompeten untuk kendaraan bermotor angkutan berat, khususnya peti kemas, menunjukkan kekurangan keterampilan.","[1.0, 0.0, 0.0, 0.0, 0.0]"
21.0,"Pengemudi yang tidak memegang SIM yang sesuai untuk kendaraan angkutan berat, termasuk peti kemas, menunjukkan kurangnya kualifikasi mengemudi yang diperlukan.","[1.0, 0.0, 0.0, 0.0, 0.0]"
22.0,"Kecelakaan melibatkan pengemudi yang tidak memiliki SIM yang valid untuk mengemudikan kendaraan angkutan berat, seperti peti kemas, menunjukkan ketidakcukupan keterampilan mengemudi.","[1.0, 0.0, 0.0, 0.0, 0.0]"
23.0,"Pengemudi tanpa SIM yang sesuai untuk mengemudikan kendaraan bermotor angkutan berat, termasuk peti kemas, menunjukkan kekurangan dalam kompetensi mengemudi.","[1.0, 0.0, 0.0, 0.0, 0.0]"
24.0,"Kecelakaan disebabkan oleh pengemudi yang tidak memiliki SIM yang kompeten untuk kendaraan bermotor angkutan berat, mengindikasikan kekurangan dalam keterampilan mengemudi.","[1.0, 0.0, 0.0, 0.0, 0.0]"
25.0,"Pengemudi yang mengoperasikan kendaraan angkutan berat tanpa SIM yang tepat, terutama peti kemas, menunjukkan kekurangan dalam kemampuan mengemudi.","[1.0, 0.0, 0.0, 0.0, 0.0]"
26.0,"Kecelakaan akibat pengemudi tanpa SIM yang diperlukan untuk kendaraan bermotor angkutan berat, khususnya peti kemas, menunjukkan kurangnya kualifikasi mengemudi.","[1.0, 0.0, 0.0, 0.0, 0.0]"
27.0,"Pengemudi kendaraan angkutan berat, seperti peti kemas, tanpa SIM yang sesuai, menunjukkan kesenjangan dalam kompetensi mengemudi.","[1.0, 0.0, 0.0, 0.0, 0.0]"
28.0,"Kecelakaan terjadi akibat pengemudi tanpa SIM yang diperlukan untuk mengemudikan kendaraan bermotor angkutan berat, menunjukkan kekurangan dalam keterampilan mengemudi.","[1.0, 0.0, 0.0, 0.0, 0.0]"
29.0,"Pengemudi yang mengemudikan kendaraan angkutan berat tanpa SIM yang sesuai, khususnya peti kemas, menunjukkan ketidakcukupan kompetensi mengemudi.","[1.0, 0.0, 0.0, 0.0, 0.0]"
30.0,"Kecelakaan melibatkan pengemudi yang tidak memiliki SIM yang valid untuk mengemudikan kendaraan angkutan berat, termasuk peti kemas, menandakan kurangnya keterampilan mengemudi.","[1.0, 0.0, 0.0, 0.0, 0.0]"
,Lemahnya pengawasan oleh pihak manajemen perusahaan angkutan terhadap pengemudi dan perawatan (maintenance) kendaraan,"[0.0, 0.0, 0.0, 0.0, 0.0]"
1.0,Kecelakaan ini terkait dengan pengawasan yang tidak memadai oleh manajemen perusahaan angkutan terhadap pengemudi dan perawatan kendaraan.,"[0.0, 0.0, 0.0, 0.0, 0.0]"
2.0,Lemahnya pengawasan manajemen terhadap pengemudi dan pemeliharaan kendaraan di perusahaan angkutan berkontribusi pada terjadinya kecelakaan.,"[0.0, 0.0, 0.0, 0.0, 0.0]"
3.0,Kecelakaan dikaitkan dengan kurangnya pengawasan oleh manajemen perusahaan angkutan pada aspek pengemudi dan maintenance kendaraan.,"[0.0, 0.0, 0.0, 0.0, 0.0]"
4.0,Pengawasan yang tidak efektif oleh manajemen perusahaan angkutan terhadap pengemudi dan perawatan kendaraan menjadi faktor penyebab kecelakaan.,"[0.0, 0.0, 0.0, 0.0, 0.0]"
5.0,Kecelakaan mungkin disebabkan oleh lemahnya pengawasan dari pihak manajemen perusahaan angkutan terhadap kinerja pengemudi dan perawatan kendaraan.,"[0.0, 0.0, 0.0, 0.0, 0.0]"
6.0,Lemahnya pengawasan oleh manajemen dalam perusahaan angkutan atas pengemudi dan pemeliharaan kendaraan berkontribusi pada insiden tersebut.,"[0.0, 0.0, 0.0, 0.0, 0.0]"
7.0,Kecelakaan ini dapat dikaitkan dengan pengawasan yang tidak adekuat dari manajemen perusahaan angkutan terhadap pengemudi dan perawatan kendaraan.,"[0.0, 0.0, 0.0, 0.0, 0.0]"
8.0,Kurangnya pengawasan manajemen perusahaan angkutan terhadap aspek pengemudi dan maintenance kendaraan berperan dalam terjadinya kecelakaan.,"[0.0, 0.0, 0.0, 0.0, 0.0]"
9.0,Lemahnya pengawasan oleh manajemen perusahaan angkutan pada pengemudi dan pemeliharaan kendaraan menjadi faktor penyebab kecelakaan.,"[0.0, 0.0, 0.0, 0.0, 0.0]"
10.0,Pengawasan yang tidak efisien oleh manajemen perusahaan angkutan terhadap pengemudi dan perawatan kendaraan turut menyebabkan kecelakaan.,"[0.0, 0.0, 0.0, 0.0, 0.0]"
11.0,Kecelakaan ini menunjukkan lemahnya pengawasan manajemen perusahaan angkutan terhadap praktik pengemudi dan pemeliharaan kendaraan.,"[0.0, 0.0, 0.0, 0.0, 0.0]"
12.0,Lemahnya pengawasan manajemen terhadap pengemudi dan perawatan kendaraan di perusahaan angkutan menyumbang pada terjadinya kecelakaan.,"[0.0, 0.0, 0.0, 0.0, 0.0]"
13.0,Kurangnya pengawasan oleh pihak manajemen perusahaan angkutan atas pengemudi dan pemeliharaan kendaraan menjadi faktor dalam kecelakaan ini.,"[0.0, 0.0, 0.0, 0.0, 0.0]"
14.0,Pengawasan manajemen yang tidak memadai terhadap pengemudi dan pemeliharaan kendaraan di perusahaan angkutan berperan dalam terjadinya kecelakaan.,"[0.0, 0.0, 0.0, 0.0, 0.0]"
15.0,Kecelakaan ini mencerminkan lemahnya pengawasan manajemen perusahaan angkutan terhadap operasional pengemudi dan perawatan kendaraan.,"[0.0, 0.0, 0.0, 0.0, 0.0]"
16.0,Lemahnya pengawasan oleh pihak manajemen dalam perusahaan angkutan atas pengemudi dan pemeliharaan kendaraan menjadi salah satu penyebab utama kecelakaan.,"[0.0, 0.0, 0.0, 0.0, 0.0]"
17.0,Kurangnya kontrol manajemen perusahaan angkutan atas praktik pengemudi dan maintenance kendaraan berkontribusi pada terjadinya insiden.,"[0.0, 0.0, 0.0, 0.0, 0.0]"
18.0,Kecelakaan ini menunjukkan adanya kelemahan dalam pengawasan manajemen perusahaan angkutan terhadap pengemudi dan pemeliharaan kendaraan.,"[0.0, 0.0, 0.0, 0.0, 0.0]"
19.0,Insufisiensi pengawasan manajemen perusahaan angkutan atas pengemudi dan kondisi kendaraan dikaitkan dengan terjadinya kecelakaan.,"[0.0, 0.0, 0.0, 0.0, 0.0]"
20.0,Lemahnya pengawasan manajemen atas pengemudi dan kondisi kendaraan di perusahaan angkutan turut andil dalam penyebab kecelakaan.,"[0.0, 0.0, 0.0, 0.0, 0.0]"
21.0,Kecelakaan disebabkan oleh kurangnya pengawasan yang efektif oleh manajemen perusahaan angkutan terhadap kinerja pengemudi dan kondisi kendaraan.,"[0.0, 0.0, 0.0, 0.0, 0.0]"
22.0,Lemahnya pengawasan dari manajemen perusahaan angkutan atas pengemudi dan perawatan kendaraan turut menjadi penyebab kecelakaan.,"[0.0, 0.0, 0.0, 0.0, 0.0]"
23.0,Kecelakaan ini berhubungan dengan kurangnya pengawasan manajemen perusahaan angkutan terhadap aktivitas pengemudi dan maintenance kendaraan.,"[0.0, 0.0, 0.0, 0.0, 0.0]"
24.0,Kurangnya pengawasan manajemen perusahaan angkutan terhadap pengemudi dan perawatan kendaraan menunjukkan adanya kekurangan dalam manajemen risiko.,"[0.0, 0.0, 0.0, 0.0, 0.0]"
25.0,Lemahnya pengawasan manajemen perusahaan angkutan terhadap pengemudi dan perawatan kendaraan berperan dalam terjadinya kecelakaan tersebut.,"[0.0, 0.0, 0.0, 0.0, 0.0]"
26.0,Insiden ini mencerminkan lemahnya pengawasan oleh manajemen perusahaan angkutan dalam memantau pengemudi dan pemeliharaan kendaraan.,"[0.0, 0.0, 0.0, 0.0, 0.0]"
27.0,Lemahnya pengawasan manajemen perusahaan angkutan atas aspek pengemudi dan kondisi kendaraan menjadi faktor penting dalam terjadinya kecelakaan.,"[0.0, 0.0, 0.0, 0.0, 0.0]"
28.0,Pengawasan yang tidak memadai oleh manajemen perusahaan angkutan atas pengemudi dan perawatan kendaraan menjadi salah satu penyebab kecelakaan.,"[0.0, 0.0, 0.0, 0.0, 0.0]"
29.0,Kurangnya pengawasan manajemen perusahaan angkutan terhadap pengemudi dan kondisi kendaraan dikaitkan dengan terjadinya kecelakaan.,"[0.0, 0.0, 0.0, 0.0, 0.0]"
30.0,Kecelakaan ini menyoroti lemahnya pengawasan manajemen perusahaan angkutan terhadap pengemudi dan perawatan kendaraan sebagai faktor risiko.,"[0.0, 0.0, 0.0, 0.0, 0.0]"
,"Dengan demikian, kemungkinan rangkaian penyebab (Probable Causes) terjadinya peristiwa kecelakaan ini adalah kurang mengenal (familiar) nya pengemudi terhadap rute tersebut, kondisi jalan yang rusak berat, penggunaan komponen (kanvas) rem yang tidak standar serta muatan melebihi kapasitas, mengakibatkan yang bersangkutan kurang mampu dalam mengatasi kondisi kritis yang datang secara tiba-tiba.","[0.0, 0.0, 1.0, 0.0, 0.0]"
1.0,"Kecelakaan ini mungkin disebabkan oleh ketidakfamiliaran pengemudi dengan rute, kondisi jalan yang buruk, penggunaan komponen rem yang tidak standar, dan muatan berlebih, menyulitkan penanganan situasi mendadak.","[0.0, 0.0, 1.0, 0.0, 0.0]"
2.0,"Penyebab potensial kecelakaan termasuk kurangnya pengenalan pengemudi terhadap rute, kondisi jalan rusak berat, penggunaan kanvas rem tidak standar, dan kelebihan muatan, menyebabkan kesulitan menghadapi kondisi darurat.","[0.0, 0.0, 1.0, 0.0, 0.0]"
3.0,"Kecelakaan mungkin terjadi akibat pengemudi yang tidak familiar dengan rute, kondisi jalan yang sangat rusak, penggunaan komponen rem yang tidak standar, dan muatan melebihi kapasitas, menghambat penanganan situasi kritis.","[0.0, 0.0, 1.0, 0.0, 0.0]"
4.0,"Kemungkinan rangkaian penyebab kecelakaan meliputi ketidakfamiliaran pengemudi dengan rute, kondisi jalan rusak, penggunaan kanvas rem yang tidak standar, dan muatan berlebih, menyulitkan penanganan keadaan darurat.","[0.0, 0.0, 1.0, 0.0, 0.0]"
5.0,"Kecelakaan ini mungkin disebabkan oleh kurangnya pengetahuan pengemudi tentang rute, kondisi jalan yang rusak parah, penggunaan komponen rem yang tidak standar, dan muatan berlebih, mengakibatkan kesulitan dalam mengatasi situasi tak terduga.","[0.0, 0.0, 1.0, 0.0, 0.0]"
6.0,"Faktor penyebab kecelakaan ini termasuk kurangnya familiaritas pengemudi dengan rute, kondisi jalan yang tidak baik, penggunaan komponen rem yang tidak sesuai, dan muatan melebihi kapasitas, mengakibatkan kesulitan saat kondisi darurat.","[0.0, 0.0, 1.0, 0.0, 0.0]"
7.0,"Kecelakaan dapat disebabkan oleh kurangnya pengetahuan pengemudi terhadap rute, kondisi jalan yang buruk, penggunaan kanvas rem yang tidak standar, dan muatan yang berlebihan, mempengaruhi kemampuan dalam menghadapi situasi mendadak.","[0.0, 0.0, 1.0, 0.0, 0.0]"
8.0,"Penyebab kemungkinan kecelakaan termasuk ketidakfamiliaran pengemudi dengan rute, kondisi jalan yang sangat rusak, penggunaan komponen rem yang tidak standar, dan muatan yang melebihi kapasitas, menyulitkan dalam mengatasi situasi darurat.","[0.0, 0.0, 1.0, 0.0, 0.0]"
9.0,"Kecelakaan ini kemungkinan diakibatkan oleh kurangnya familiaritas pengemudi terhadap rute, kondisi jalan yang rusak berat, penggunaan kanvas rem yang tidak standar, dan kelebihan muatan, yang menghambat respons dalam kondisi kritis.","[0.0, 0.0, 1.0, 0.0, 0.0]"
10.0,"Penyebab potensial kecelakaan meliputi ketidakfamiliaran pengemudi dengan rute, kondisi jalan yang rusak, penggunaan komponen rem tidak sesuai standar, dan muatan melebihi kapasitas, mempengaruhi kemampuan mengatasi situasi tak terduga.","[0.0, 0.0, 1.0, 0.0, 0.0]"
11.0,"Kecelakaan mungkin terjadi karena pengemudi tidak mengenal rute, kondisi jalan rusak, penggunaan kanvas rem yang tidak standar, dan muatan berlebih, menyulitkan penanganan kondisi darurat.","[0.0, 0.0, 1.0, 0.0, 0.0]"
12.0,"Kemungkinan penyebab kecelakaan termasuk kurangnya pengenalan pengemudi terhadap rute, kondisi jalan yang rusak parah, penggunaan komponen rem yang tidak standar, dan muatan yang melebihi batas, mempersulit mengatasi situasi kritis.","[0.0, 0.0, 1.0, 0.0, 0.0]"
13.0,"Kecelakaan ini mungkin diakibatkan oleh pengemudi yang kurang mengenal rute, kondisi jalan yang sangat rusak, penggunaan kanvas rem yang tidak standar, dan muatan berlebih, menghambat penanganan kondisi darurat.","[0.0, 0.0, 1.0, 0.0, 0.0]"
14.0,"Faktor penyebab kecelakaan meliputi ketidakfamiliaran pengemudi dengan rute, kondisi jalan yang rusak berat, penggunaan kanvas rem yang tidak sesuai, dan muatan berlebih, mempengaruhi kemampuan menghadapi situasi tak terduga.","[0.0, 0.0, 1.0, 0.0, 0.0]"
15.0,"Kecelakaan ini mungkin disebabkan oleh kurangnya pengetahuan pengemudi mengenai rute, kondisi jalan yang buruk, penggunaan komponen rem yang tidak standar, dan muatan melebihi kapasitas, yang mempersulit penanganan situasi kritis.","[0.0, 0.0, 1.0, 0.0, 0.0]"
16.0,"Kecelakaan kemungkinan diakibatkan oleh ketidakfamiliaran pengemudi dengan rute, kondisi jalan yang rusak parah, penggunaan kanvas rem yang tidak standar, dan muatan berlebih, menghambat respons efektif dalam kondisi darurat.","[0.0, 0.0, 1.0, 0.0, 0.0]"
17.0,"Penyebab potensial kecelakaan termasuk kurangnya pengetahuan pengemudi tentang rute, kondisi jalan yang buruk, penggunaan komponen rem tidak sesuai, dan muatan melebihi kapasitas, mempengaruhi penanganan situasi mendesak.","[0.0, 0.0, 1.0, 0.0, 0.0]"
18.0,"Kecelakaan mungkin terjadi akibat pengemudi yang tidak familiar dengan rute, kondisi jalan yang rusak berat, penggunaan kanvas rem yang tidak standar, dan kelebihan muatan, menyulitkan penanganan keadaan darurat.","[0.0, 0.0, 1.0, 0.0, 0.0]"
19.0,"Kemungkinan rangkaian penyebab kecelakaan meliputi ketidakfamiliaran pengemudi dengan rute, kondisi jalan yang buruk, penggunaan kanvas rem yang tidak standar, dan kelebihan muatan, mempengaruhi penanganan situasi kritis.","[0.0, 0.0, 1.0, 0.0, 0.0]"
20.0,"Kecelakaan ini mungkin disebabkan oleh kurangnya pengenalan pengemudi pada rute, kondisi jalan yang rusak, penggunaan komponen rem yang tidak standar, dan muatan berlebih, mempengaruhi kemampuan mengatasi situasi mendadak.","[0.0, 0.0, 1.0, 0.0, 0.0]"
21.0,"Faktor penyebab kecelakaan termasuk ketidakfamiliaran pengemudi terhadap rute, kondisi jalan yang rusak berat, penggunaan kanvas rem yang tidak standar, dan muatan melebihi batas, mengakibatkan kesulitan saat kondisi darurat.","[0.0, 0.0, 1.0, 0.0, 0.0]"
